Recommendation_ID,Category,Category_Slug,Problem_or_Condition,Condition_Slug,Subcondition,Recommended_Product_1,Recommended_Product_2,Recommended_Product_3,Recommended_Product_4,All_Recommended_Products,Usage_or_Notes,Priority,Source_Page,Confidence,Original_Text_Snippet
REC-0086,WEIGHT MANAGEMENT,weight-management,Rapid Weight Gain,rapid-weight-gain,,AMPLE MEAL,VITAL PROTEIN,L-ARGININE++ (NITRIC OXIDE PRECURSOR),SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE OR SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE OR NONIMA JUICE,AMPLE MEAL | VITAL PROTEIN | L-ARGININE++ (NITRIC OXIDE PRECURSOR) | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | SUPER RICH BERRY JUICE + ALOE VERA GUAVA JUICE | NONIMA JUICE,Ample Meal: Mix 3 scoops in 250-300 ml lukewarm water. Vital Protein: 2-3 scoops in 150-200 ml.,High,72,High,Rapid Weight Gain
REC-0087,SKIN PROBLEMS,skin-problems,Photo Damage (UV Rays),photo-damage-uv-rays,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP | ALOE VERA GEL | PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Photo Damage (UV Rays)
REC-0088,SKIN PROBLEMS,skin-problems,Dry Skin,dry-skin,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP | ALOE VERA GEL | PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Dry Skin
REC-0089,SKIN PROBLEMS,skin-problems,Slow Wound Healing,slow-wound-healing,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP | ALOE VERA GEL | PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Slow Wound Healing
REC-0090,SKIN PROBLEMS,skin-problems,Aging,aging,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP | ALOE VERA GEL | PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Aging
REC-0091,SKIN PROBLEMS,skin-problems,Skin Disorders,skin-disorders,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP | ALOE VERA GEL | PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,Skin Disorders
REC-0092,SKIN PROBLEMS,skin-problems,"Acne, Psoriasis",acne-psoriasis,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER FOOD CAPSULE,ALOE VERA GUAVA JUICE OR NONIMA JUICE OR LIVEASE SYRUP,ALOE VERA GEL,PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER FOOD CAPSULE | ALOE VERA GUAVA JUICE | NONIMA JUICE | LIVEASE SYRUP | ALOE VERA GEL | PREMIUM TULSI MAX,Aloe Vera Gel: Apply small amount on face twice daily.,High,73,High,"Acne, Psoriasis"
REC-0093,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),cognitive-deficits-brain-health-adults,Disturbed Concentration,disturbed-concentration,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE | PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Disturbed Concentration
REC-0094,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),cognitive-deficits-brain-health-adults,Sleeplessness,sleeplessness,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE | PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Sleeplessness
REC-0095,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),cognitive-deficits-brain-health-adults,Memory loss,memory-loss,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE | PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Memory loss
REC-0096,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),cognitive-deficits-brain-health-adults,Trouble in Exercising Judgment,trouble-in-exercising-judgment,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE | PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Trouble in Exercising Judgment
REC-0097,COGNITIVE DEFICITS/BRAIN HEALTH (ADULTS),cognitive-deficits-brain-health-adults,Difficulty in Planning and Carrying out tasks,difficulty-in-planning-and-carrying-out-tasks,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE OR PREMIUM TULSI MAX,GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE | PREMIUM TULSI MAX,Adilipo Tablet: 1-2 tablets twice daily.,High,74,High,Difficulty in Planning and Carrying out tasks
REC-0098,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",varicose-veins-twisted-enlarged-veins,An achy or heavy feeling in the legs,an-achy-or-heavy-feeling-in-the-legs,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,An achy or heavy feeling in the legs
REC-0099,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",varicose-veins-twisted-enlarged-veins,"Burning, throbbing, muscle cramping and swelling in the lower legs",burning-throbbing-muscle-cramping-and-swelling-in-the-lower-legs,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,"Burning, throbbing, muscle cramping and swelling in the lower legs"
REC-0100,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",varicose-veins-twisted-enlarged-veins,Worsened pain after sitting or standing for a long time,worsened-pain-after-sitting-or-standing-for-a-long-time,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,Worsened pain after sitting or standing for a long time
REC-0101,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",varicose-veins-twisted-enlarged-veins,Itching around one or more of the veins,itching-around-one-or-more-of-the-veins,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,Itching around one or more of the veins
REC-0102,"VARICOSE VEINS (TWISTED, ENLARGED VEINS)",varicose-veins-twisted-enlarged-veins,Change Skin Color around a varicose vein,change-skin-color-around-a-varicose-vein,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE,ADILIPO TABLET,SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | ADILIPO TABLET | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | SUPER RICH BERRY JUICE + L-ARGININE++ (NITRIC OXIDE PRECURSOR),L-Arginine++: Mix 1 scoop (6.5g) in 200-250 ml water.,High,75,High,Change Skin Color around a varicose vein
REC-0103,SCIATICA,sciatica,Weakness when bending the knee,weakness-when-bending-the-knee,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | ADILIPO TABLET | ORTHOFIX TABLET | ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Weakness when bending the knee
REC-0104,SCIATICA,sciatica,Difficulty bending the foot,difficulty-bending-the-foot,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | ADILIPO TABLET | ORTHOFIX TABLET | ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Difficulty bending the foot
REC-0105,SCIATICA,sciatica,Difficulty walking on your toes,difficulty-walking-on-your-toes,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | ADILIPO TABLET | ORTHOFIX TABLET | ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Difficulty walking on your toes
REC-0106,SCIATICA,sciatica,Abnormal or weak reflexes,abnormal-or-weak-reflexes,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | ADILIPO TABLET | ORTHOFIX TABLET | ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Abnormal or weak reflexes
REC-0107,SCIATICA,sciatica,Loss of sensation or numbness,loss-of-sensation-or-numbness,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | ADILIPO TABLET | ORTHOFIX TABLET | ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Loss of sensation or numbness
REC-0108,SCIATICA,sciatica,Pain when lifting the leg,pain-when-lifting-the-leg,,GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE OR OMEGA 3-6-9 SOFTGEL CAPSULES,ADILIPO TABLET,ORTHOFIX TABLET,ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),GOLDEN ELIXIR | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | SUPER FOOD CAPSULE | OMEGA 3-6-9 SOFTGEL CAPSULES | ADILIPO TABLET | ORTHOFIX TABLET | ORTHOFIX OIL + L-ARGININE++ (NITRIC OXIDE PRECURSOR),Orthofix Oil: Apply 3-5 ml twice daily on joints and massage.,High,76,High,Pain when lifting the leg
REC-0109,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",kidney-disorders-like-stone-uric-acid-uti,Reduced amount of urine,reduced-amount-of-urine,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,KIDNEY KAWACH | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Reduced amount of urine
REC-0110,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",kidney-disorders-like-stone-uric-acid-uti,Swelling in legs ankles and feet from retention of fluids,swelling-in-legs-ankles-and-feet-from-retention-of-fluids,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,KIDNEY KAWACH | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Swelling in legs ankles and feet from retention of fluids
REC-0111,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",kidney-disorders-like-stone-uric-acid-uti,Excessive drowsiness,excessive-drowsiness,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,KIDNEY KAWACH | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Excessive drowsiness
REC-0112,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",kidney-disorders-like-stone-uric-acid-uti,Shortness of breath,shortness-of-breath,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,KIDNEY KAWACH | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Shortness of breath
REC-0113,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",kidney-disorders-like-stone-uric-acid-uti,Persistent nausea,persistent-nausea,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,KIDNEY KAWACH | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Persistent nausea
REC-0114,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",kidney-disorders-like-stone-uric-acid-uti,Pain or pressure in your chest,pain-or-pressure-in-your-chest,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,KIDNEY KAWACH | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Pain or pressure in your chest
REC-0115,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",kidney-disorders-like-stone-uric-acid-uti,Frequent Urination,frequent-urination,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,KIDNEY KAWACH | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Frequent Urination
REC-0116,"KIDNEY DISORDERS LIKE STONE, URIC ACID & UTI",kidney-disorders-like-stone-uric-acid-uti,Burning Urination,burning-urination,,KIDNEY KAWACH,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,ALOE VERA GUAVA JUICE OR NONIMA JUICE,,KIDNEY KAWACH | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | ALOE VERA GUAVA JUICE | NONIMA JUICE,Kidney Kawach: 5-15 gm twice daily.,High,77,High,Burning Urination
REC-0117,THYROID PREFERABLY (HYPOTHYROIDISM),thyroid-preferably-hypothyroidism,Anxiety,anxiety,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Anxiety
REC-0118,THYROID PREFERABLY (HYPOTHYROIDISM),thyroid-preferably-hypothyroidism,Difficulty concentrating,difficulty-concentrating,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Difficulty concentrating
REC-0119,THYROID PREFERABLY (HYPOTHYROIDISM),thyroid-preferably-hypothyroidism,Fatigue,fatigue,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Fatigue
REC-0120,THYROID PREFERABLY (HYPOTHYROIDISM),thyroid-preferably-hypothyroidism,Disturbed bowel movements,disturbed-bowel-movements,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Disturbed bowel movements
REC-0121,THYROID PREFERABLY (HYPOTHYROIDISM),thyroid-preferably-hypothyroidism,Weight Gain,weight-gain,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Weight Gain
REC-0122,THYROID PREFERABLY (HYPOTHYROIDISM),thyroid-preferably-hypothyroidism,Hair loss,hair-loss,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Hair loss
REC-0123,THYROID PREFERABLY (HYPOTHYROIDISM),thyroid-preferably-hypothyroidism,Hand tremor,hand-tremor,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Hand tremor
REC-0124,THYROID PREFERABLY (HYPOTHYROIDISM),thyroid-preferably-hypothyroidism,Heat intolerance,heat-intolerance,,ADICARDIAL TABLET,ADICARDIAL SYRUP,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,,ADICARDIAL TABLET | ADICARDIAL SYRUP | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE,Adicardial Tablet: 1-2 tablets twice daily.,High,78,High,Heat intolerance
REC-0125,EYE HEALTH,eye-health,Strain in the Eyes,strain-in-the-eyes,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,EYE ELIXIR DROPS | EYE HEALTH++ TABLETS | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Strain in the Eyes
REC-0126,EYE HEALTH,eye-health,Tears in the Eyes,tears-in-the-eyes,,EYE ELIXIR DROPS,EYE HEALTH++ TABLETS,GOLDEN ELIXIR OR SUPER FOOD CAPSULE OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE,MULTI VITAMINS TABLETS,EYE ELIXIR DROPS | EYE HEALTH++ TABLETS | GOLDEN ELIXIR | SUPER FOOD CAPSULE | SEA BUCKTHORN JUICE | SUPER RICH BERRY JUICE | MULTI VITAMINS TABLETS,"Eye Elixir Drops: 1-2 drops, 3-6 times/day. Eye Health++: 1 capsule twice daily.",High,79,High,Tears in the Eyes
