intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by
1413,Which product is good for Excessive Production of Gastric Acid?,"Based on Dayjoy recommendations, you may consider LIVEASE SYRUP OR GAS-O-FREE SYRUP. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,excessive production gastric acid,excessive production gastric acid,,customer_safe_intent,
1418,Do you have Hydra Max Moisturizer (50gm)?,"Yes, Hydra Max Moisturizer (50gm) is available. Code: DJP1060",transactional,availability,Hydra Max Moisturizer (50gm),DJP1060,DJ-SKI-0061,high,Products Master,,do you have hydra max moisturizer 50gm,do you have hydra max moisturizer 50gm,Hydra Max Moisturizer (50gm),customer_safe_intent,
1421,Do you have Advanced Calcium Tablets?,"Yes, Advanced Calcium Tablets is available. Code: DJP1077",transactional,availability,Advanced Calcium Tablets,DJP1077,DJ-HEA-0078,high,Products Master,,do you have advanced calcium tablets,do you have advanced calcium tablets,Advanced Calcium Tablets,customer_safe_intent,
1424,Which product is good for Feeling Like You Still Need To Poo After going to the Toilet?,"Based on Dayjoy recommendations, you may consider GO PILES TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,feeling like you still need poo after going toilet,feeling like you still need poo after going toilet,,customer_safe_intent,
1428,What is the MRP of Dayjoy Business Planner Book (English)?,The MRP is ₹250.0.,pricing,mrp,Dayjoy Business Planner Book (English),DJP1163,DJ-PRO-0164,high,Price List,,mrp dayjoy business planner book english,mrp dayjoy business planner book english,Dayjoy Business Planner Book (English),customer_safe_intent,
1432,Tell me about Hindi One-Page Compensation Plan (Set of 50 Leaflets),This is a premium product under Dayjoy.,informational,product_discovery,Hindi One-Page Compensation Plan (Set of 50 Leaflets),DJP1160,DJ-PRO-0161,high,Products Master,,tell about hindi one page compensation plan set 50 leaflets,tell about hindi one page compensation plan set 50 leaflets,Hindi One-Page Compensation Plan (Set of 50 Leaflets),customer_safe_intent,
1433,Tell me about Sabji Masala (100g),This is a premium product under Aayushmaan / YumDum / Total Joy.,informational,product_discovery,Sabji Masala (100g),DJP1020,DJ-FOO-0021,high,Products Master,,tell about sabji masala 100g,tell about sabji masala 100g,Sabji Masala (100g),customer_safe_intent,
1434,Are New Perfect-Ion and Seabuckthron Massage Cream (30g) the same?,"No, New Perfect-Ion is in AQUA ESSENTIALS while Seabuckthron Massage Cream (30g) is in PERSONAL CARE.",comparison,category_difference,,,,high,Products Master,,new perfect ion and seabuckthron massage cream 30g same,new perfect ion and seabuckthron massage cream 30g same,,customer_safe_intent,
1438,Are Adilipo (120 Tab) and Seabuckthron Face Pack (30g) the same?,"No, Adilipo (120 Tab) is in HEALTH CARE while Seabuckthron Face Pack (30g) is in PERSONAL CARE.",comparison,category_difference,,,,high,Products Master,,adilipo 120 tab and seabuckthron face pack 30g same,adilipo 120 tab and seabuckthron face pack 30g same,,customer_safe_intent,
1444,"Which product is good for Pale, Bloody, or Black Stool?","Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,pale bloody or black stool,pale bloody or black stool,,customer_safe_intent,
1446,Tell me about Eye Elixir Drops (10ml),This is a premium product under Curind.,informational,product_discovery,Eye Elixir Drops (10ml),DJP1086,DJ-HEA-0087,high,Products Master,,tell about eye elixir drops 10ml,tell about eye elixir drops 10ml,Eye Elixir Drops (10ml),customer_safe_intent,
1448,Do you have Haldi Powder (200g)?,"Yes, Haldi Powder (200g) is available. Code: DJP1010",transactional,availability,Haldi Powder (200g),DJP1010,DJ-FOO-0011,high,Products Master,,do you have haldi powder 200g,do you have haldi powder 200g,Haldi Powder (200g),customer_safe_intent,
1450,Do you have GoPiles (60 Tab)?,"Yes, GoPiles (60 Tab) is available. Code: DJP1083",transactional,availability,GoPiles (60 Tab),DJP1083,DJ-HEA-0084,high,Products Master,,do you have gopiles 60 tab,do you have gopiles 60 tab,GoPiles (60 Tab),customer_safe_intent,
1453,Tell me about Super Food Capsule,This is a premium product under Curind.,informational,product_discovery,Super Food Capsule,DJP1105,DJ-HEA-0106,high,Products Master,,tell about super food capsule,tell about super food capsule,Super Food Capsule,customer_safe_intent,
1458,What is the MRP of GoPiles Syrup (500ml)?,The MRP is ₹1399.0.,pricing,mrp,GoPiles Syrup (500ml),DJP1084,DJ-HEA-0085,high,Price List,,mrp gopiles syrup 500ml,mrp gopiles syrup 500ml,GoPiles Syrup (500ml),customer_safe_intent,
1459,What is the MRP of Arogya Churn (100g)?,The MRP is ₹189.0.,pricing,mrp,Arogya Churn (100g),DJP1078,DJ-HEA-0079,high,Price List,,mrp arogya churn 100g,mrp arogya churn 100g,Arogya Churn (100g),customer_safe_intent,
1463,Do you have Dayjoy Necktie?,"Yes, Dayjoy Necktie is available. Code: DJP1121",transactional,availability,Dayjoy Necktie,DJP1121,DJ-CLO-0122,high,Products Master,,do you have dayjoy necktie,do you have dayjoy necktie,Dayjoy Necktie,customer_safe_intent,
1464,What is the MRP of Bio-Germanium & Magnetic Mattress?,The MRP is ₹15000.0.,pricing,mrp,Bio-Germanium & Magnetic Mattress,DJP1136,DJ-GER-0137,high,Price List,,mrp bio germanium magnetic mattress,mrp bio germanium magnetic mattress,Bio-Germanium & Magnetic Mattress,customer_safe_intent,
1471,What is the MRP of Chaat Masala (100g)?,The MRP is ₹75.0.,pricing,mrp,Chaat Masala (100g),DJP1001,DJ-FOO-0002,high,Price List,,mrp chaat masala 100g,mrp chaat masala 100g,Chaat Masala (100g),customer_safe_intent,
1473,What is N-astheal (120 Tab)?,N-astheal (120 Tab) is a HEALTH CARE product by Dayjoy.,informational,product_info,N-astheal (120 Tab),DJP1096,DJ-HEA-0097,high,Products Master,,n astheal 120 tab,n astheal 120 tab,N-astheal (120 Tab),customer_safe_intent,
1475,"I have Difficulty in Planning and Carrying out tasks, what should I take?","Dayjoy suggests GOLDEN ELIXIR OR SEA BUCKTHORN JUICE for Difficulty in Planning and Carrying out tasks. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have difficulty planning and carrying out tasks,have difficulty planning and carrying out tasks,,customer_safe_intent,
1476,Is Sabji Masala (100g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Sabji Masala (100g),DJP1020,DJ-FOO-0021,high,Products Master,,sabji masala 100g food,sabji masala 100g food,Sabji Masala (100g),customer_safe_intent,
1481,Is Ecofriendly Toothbrush (Pack of 2) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Ecofriendly Toothbrush (Pack of 2),DJP1032,DJ-PER-0033,high,Products Master,,ecofriendly toothbrush pack 2 food,ecofriendly toothbrush pack 2 food,Ecofriendly Toothbrush (Pack of 2),customer_safe_intent,
1488,Are AgeX Anti-Ageing Night Cream (50gm) and Adila Forte (30 Tab) the same?,"No, AgeX Anti-Ageing Night Cream (50gm) is in SKIN CARE while Adila Forte (30 Tab) is in HEALTH CARE.",comparison,category_difference,,,,high,Products Master,,agex anti ageing night cream 50gm and adila forte 30 tab same,agex anti ageing night cream 50gm and adila forte 30 tab same,,customer_safe_intent,
1489,Is HB+ (500ml) a food product?,It is categorized under HEALTH CARE.,informational,product_category,HB+ (500ml),DJP1089,DJ-HEA-0090,high,Products Master,,hb 500ml food,hb 500ml food,HB+ (500ml),customer_safe_intent,
1491,Tell me about Dayjoy Cap,This is a premium product under Dayjoy.,informational,product_discovery,Dayjoy Cap,DJP1148,DJ-PRO-0149,high,Products Master,,tell about dayjoy cap,tell about dayjoy cap,Dayjoy Cap,customer_safe_intent,
1494,Which product is good for Tingling Sensations and Numbness?,"Based on Dayjoy recommendations, you may consider DIBEAT TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,tingling sensations and numbness,tingling sensations and numbness,,customer_safe_intent,
1502,Is English One-Page Compensation Plan (Set of 25 Leaflets) a food product?,It is categorized under PROMOTION TOOLS.,informational,product_category,English One-Page Compensation Plan (Set of 25 Leaflets),DJP1159,DJ-PRO-0160,high,Products Master,,english one page compensation plan set 25 leaflets food,english one page compensation plan set 25 leaflets food,English One-Page Compensation Plan (Set of 25 Leaflets),customer_safe_intent,
1503,"Which is better, Vital Protein Powder (300gm) or Super Rich Berry Juice (1 Ltr.)?",Both are excellent HEALTH CARE products. Choose based on your specific health or personal care needs. Consult the Dayjoy product guide.,comparison,alternative,,,,medium,General Guidance,,better vital protein powder 300gm or super rich berry juice 1 ltr,better vital protein powder 300gm or super rich berry juice 1 ltr,,customer_safe_intent,
1524,Tell me about L-Arginine++ - Energy Drink (100g),This is a premium product under Curind.,informational,product_discovery,L-Arginine++ - Energy Drink (100g),DJP1108,DJ-HEA-0109,high,Products Master,,tell about l arginine energy drink 100g,tell about l arginine energy drink 100g,L-Arginine++ - Energy Drink (100g),customer_safe_intent,
1525,What is Luxury Saffron Soap (100g)?,Luxury Saffron Soap (100g) is a PERSONAL CARE product by Dayjoy.,informational,product_info,Luxury Saffron Soap (100g),DJP1031,DJ-PER-0032,high,Products Master,,luxury saffron soap 100g,luxury saffron soap 100g,Luxury Saffron Soap (100g),customer_safe_intent,
1527,Tell me about Aqua Energiser (Pack of 3),This is a premium product under Dayjoy.,informational,product_discovery,Aqua Energiser (Pack of 3),DJP1138,DJ-AQU-0139,high,Products Master,,tell about aqua energiser pack 3,tell about aqua energiser pack 3,Aqua Energiser (Pack of 3),customer_safe_intent,
1532,Do you have ELITE PACKAGE?,"Yes, ELITE PACKAGE is available. Code: DJP1166",transactional,availability,ELITE PACKAGE,DJP1166,DJ-COM-0167,high,Products Master,,do you have elite package,do you have elite package,ELITE PACKAGE,customer_safe_intent,
1538,What is Haldi Powder (500g)?,Haldi Powder (500g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Haldi Powder (500g),DJP1011,DJ-FOO-0012,high,Products Master,,haldi powder 500g,haldi powder 500g,Haldi Powder (500g),customer_safe_intent,
1545,What is the MRP of Kesham (100ml)?,The MRP is ₹149.0.,pricing,mrp,Kesham (100ml),DJP1035,DJ-PER-0036,high,Price List,,mrp kesham 100ml,mrp kesham 100ml,Kesham (100ml),customer_safe_intent,
1546,Tell me about Face Serum (30ml),This is a premium product under Amara Beauty.,informational,product_discovery,Face Serum (30ml),DJP1057,DJ-SKI-0058,high,Products Master,,tell about face serum 30ml,tell about face serum 30ml,Face Serum (30ml),customer_safe_intent,
1547,Tell me about Amara Beauty Eyeliner,This is a premium product under Amara Beauty.,informational,product_discovery,Amara Beauty Eyeliner,DJP1064,DJ-COL-0065,high,Products Master,,tell about amara beauty eyeliner,tell about amara beauty eyeliner,Amara Beauty Eyeliner,customer_safe_intent,
1563,Do you have Liv-Ease (500ml)?,"Yes, Liv-Ease (500ml) is available. Code: DJP1093",transactional,availability,Liv-Ease (500ml),DJP1093,DJ-HEA-0094,high,Products Master,,do you have liv ease 500ml,do you have liv ease 500ml,Liv-Ease (500ml),customer_safe_intent,
1565,Which product is good for Abdominal Pain?,"Based on Dayjoy recommendations, you may consider LIVEASE SYRUP OR GAS-O-FREE SYRUP. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,abdominal pain,abdominal pain,,customer_safe_intent,
1569,Do you have New Total Joy Rice Bran Oil (1 Litre)?,"Yes, New Total Joy Rice Bran Oil (1 Litre) is available. Code: DJP1021",transactional,availability,New Total Joy Rice Bran Oil (1 Litre),DJP1021,DJ-FOO-0022,high,Products Master,,do you have new total joy rice bran oil 1 litre,do you have new total joy rice bran oil 1 litre,New Total Joy Rice Bran Oil (1 Litre),customer_safe_intent,
1570,Is Luxwash Handwash (250ml) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Luxwash Handwash (250ml),DJP1036,DJ-PER-0037,high,Products Master,,luxwash handwash 250ml food,luxwash handwash 250ml food,Luxwash Handwash (250ml),customer_safe_intent,
1575,What is the MRP of Perfect-Ion Leaflets (Set of 50)?,The MRP is ₹66.0.,pricing,mrp,Perfect-Ion Leaflets (Set of 50),DJP1143,DJ-AQU-0144,high,Price List,,mrp perfect ion leaflets set 50,mrp perfect ion leaflets set 50,Perfect-Ion Leaflets (Set of 50),customer_safe_intent,
1576,What is Milk Bath Soap (Pack of 3) (100g)?,Milk Bath Soap (Pack of 3) (100g) is a PERSONAL CARE product by Dayjoy.,informational,product_info,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Products Master,,milk bath soap pack 3 100g,milk bath soap pack 3 100g,Milk Bath Soap (Pack of 3) (100g),customer_safe_intent,
1577,Which product is good for Strain in the Eyes?,"Based on Dayjoy recommendations, you may consider EYE ELIXIR DROPS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,strain eyes,strain eyes,,customer_safe_intent,
1581,Is Sanitary Pad (XL) (Pack of 10) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Sanitary Pad (XL) (Pack of 10),DJP1043,DJ-PER-0044,high,Products Master,,sanitary pad xl pack 10 food,sanitary pad xl pack 10 food,Sanitary Pad (XL) (Pack of 10),customer_safe_intent,
1587,Do you have Mirchi Powder (500g)?,"Yes, Mirchi Powder (500g) is available. Code: DJP1018",transactional,availability,Mirchi Powder (500g),DJP1018,DJ-FOO-0019,high,Products Master,,do you have mirchi powder 500g,do you have mirchi powder 500g,Mirchi Powder (500g),customer_safe_intent,
1589,Do you have Ample Meal - Meal Replacement Nutritional Shake (500g)?,"Yes, Ample Meal - Meal Replacement Nutritional Shake (500g) is available. Code: DJP1109",transactional,availability,Ample Meal - Meal Replacement Nutritional Shake (500g),DJP1109,DJ-HEA-0110,high,Products Master,,do you have ample meal meal replacement nutritional shake 500g,do you have ample meal meal replacement nutritional shake 500g,Ample Meal - Meal Replacement Nutritional Shake (500g),customer_safe_intent,
1592,Is L-Arginine++ - Energy Drink (100g) a food product?,It is categorized under HEALTH CARE.,informational,product_category,L-Arginine++ - Energy Drink (100g),DJP1108,DJ-HEA-0109,high,Products Master,,l arginine energy drink 100g food,l arginine energy drink 100g food,L-Arginine++ - Energy Drink (100g),customer_safe_intent,
1595,Tell me about Multivitamins Tablets,This is a premium product under Curind.,informational,product_discovery,Multivitamins Tablets,DJP1094,DJ-HEA-0095,high,Products Master,,tell about multivitamins tablets,tell about multivitamins tablets,Multivitamins Tablets,customer_safe_intent,
1599,Do you have Adilipo (60 Tab)?,"Yes, Adilipo (60 Tab) is available. Code: DJP1071",transactional,availability,Adilipo (60 Tab),DJP1071,DJ-HEA-0072,high,Products Master,,do you have adilipo 60 tab,do you have adilipo 60 tab,Adilipo (60 Tab),customer_safe_intent,
1600,Tell me about N-SF 10.5 Mineraliser,This is a premium product under Dayjoy.,informational,product_discovery,N-SF 10.5 Mineraliser,DJP1145,DJ-AQU-0146,high,Products Master,,tell about n sf 10 5 mineraliser,tell about n sf 10 5 mineraliser,N-SF 10.5 Mineraliser,customer_safe_intent,
1602,What is Hydra Aloevera Body Lotion (300ml)?,Hydra Aloevera Body Lotion (300ml) is a PERSONAL CARE product by Dayjoy.,informational,product_info,Hydra Aloevera Body Lotion (300ml),DJP1034,DJ-PER-0035,high,Products Master,,hydra aloevera body lotion 300ml,hydra aloevera body lotion 300ml,Hydra Aloevera Body Lotion (300ml),customer_safe_intent,
1603,Do you have Amara Beauty Kajal?,"Yes, Amara Beauty Kajal is available. Code: DJP1063",transactional,availability,Amara Beauty Kajal,DJP1063,DJ-COL-0064,high,Products Master,,do you have amara beauty kajal,do you have amara beauty kajal,Amara Beauty Kajal,customer_safe_intent,
1605,What is Adicardial (120 Tab)?,Adicardial (120 Tab) is a HEALTH CARE product by Dayjoy.,informational,product_info,Adicardial (120 Tab),DJP1066,DJ-HEA-0067,high,Products Master,,adicardial 120 tab,adicardial 120 tab,Adicardial (120 Tab),customer_safe_intent,
1610,What is the MRP of Dayjoy Backpack Bag?,The MRP is ₹1100.0.,pricing,mrp,Dayjoy Backpack Bag,DJP1153,DJ-PRO-0154,high,Price List,,mrp dayjoy backpack bag,mrp dayjoy backpack bag,Dayjoy Backpack Bag,customer_safe_intent,
1611,What is the MRP of Nonima (500ml)?,The MRP is ₹1499.0.,pricing,mrp,Nonima (500ml),DJP1095,DJ-HEA-0096,high,Price List,,mrp nonima 500ml,mrp nonima 500ml,Nonima (500ml),customer_safe_intent,
1613,Tell me about Eye Health++ (60 Capsules),This is a premium product under Curind.,informational,product_discovery,Eye Health++ (60 Capsules),DJP1087,DJ-HEA-0088,high,Products Master,,tell about eye health 60 capsules,tell about eye health 60 capsules,Eye Health++ (60 Capsules),customer_safe_intent,
1619,What is the MRP of Nano Tech-52 (500ml)?,The MRP is ₹1499.0.,pricing,mrp,Nano Tech-52 (500ml),DJP1127,DJ-AGR-0128,high,Price List,,mrp nano tech 52 500ml,mrp nano tech 52 500ml,Nano Tech-52 (500ml),customer_safe_intent,
1621,Tell me about Mirchi Powder (200g),This is a premium product under Aayushmaan / YumDum / Total Joy.,informational,product_discovery,Mirchi Powder (200g),DJP1017,DJ-FOO-0018,high,Products Master,,tell about mirchi powder 200g,tell about mirchi powder 200g,Mirchi Powder (200g),customer_safe_intent,
1625,"I have Inflammation & Swelling, what should I take?","Dayjoy suggests ORTHOFIX TABLET for Inflammation & Swelling. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,have inflammation swelling,have inflammation swelling,,customer_safe_intent,
1626,Do you have Quick 6 Pain Relief Gel (30g)?,"Yes, Quick 6 Pain Relief Gel (30g) is available. Code: DJP1101",transactional,availability,Quick 6 Pain Relief Gel (30g),DJP1101,DJ-HEA-0102,high,Products Master,,do you have quick 6 pain relief gel 30g,do you have quick 6 pain relief gel 30g,Quick 6 Pain Relief Gel (30g),customer_safe_intent,
1628,Do you have Super Food Capsule?,"Yes, Super Food Capsule is available. Code: DJP1105",transactional,availability,Super Food Capsule,DJP1105,DJ-HEA-0106,high,Products Master,,do you have super food capsule,do you have super food capsule,Super Food Capsule,customer_safe_intent,
1630,Do you have Garam Masala (100g)?,"Yes, Garam Masala (100g) is available. Code: DJP1008",transactional,availability,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Products Master,,do you have garam masala 100g,do you have garam masala 100g,Garam Masala (100g),customer_safe_intent,
1641,Are Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml) and Poha with Bhujia the same?,"No, Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml) is in HEALTH CARE while Poha with Bhujia is in FOOD PRODUCTS.",comparison,category_difference,,,,high,Products Master,,golden elixir nano curcumin drops pack 2 bottles each 25ml and poha bhujia same,golden elixir nano curcumin drops pack 2 bottles each 25ml and poha bhujia same,,customer_safe_intent,
1642,What is the MRP of Super Food Capsule?,The MRP is ₹1999.0.,pricing,mrp,Super Food Capsule,DJP1105,DJ-HEA-0106,high,Price List,,mrp super food capsule,mrp super food capsule,Super Food Capsule,customer_safe_intent,
1646,Are Gold Facial Kit and STANDARD PACKAGE the same?,"No, Gold Facial Kit is in SKIN CARE while STANDARD PACKAGE is in COMBO PACKAGES.",comparison,category_difference,,,,high,Products Master,,gold facial kit and standard package same,gold facial kit and standard package same,,customer_safe_intent,
1650,What is the MRP of Neem & Tulsi Herbal Soap (100g) (Pack of 3)?,The MRP is ₹147.0.,pricing,mrp,Neem & Tulsi Herbal Soap (100g) (Pack of 3),DJP1040,DJ-PER-0041,high,Price List,,mrp neem tulsi herbal soap 100g pack 3,mrp neem tulsi herbal soap 100g pack 3,Neem & Tulsi Herbal Soap (100g) (Pack of 3),customer_safe_intent,
1653,Are Haldi Chandan Facewash (60ml) and N-astheal (60 Tab) the same?,"No, Haldi Chandan Facewash (60ml) is in PERSONAL CARE while N-astheal (60 Tab) is in HEALTH CARE.",comparison,category_difference,,,,high,Products Master,,haldi chandan facewash 60ml and n astheal 60 tab same,haldi chandan facewash 60ml and n astheal 60 tab same,,customer_safe_intent,
1655,Is Gas-O-Free (200ml) a food product?,It is categorized under HEALTH CARE.,informational,product_category,Gas-O-Free (200ml),DJP1081,DJ-HEA-0082,high,Products Master,,gas o free 200ml food,gas o free 200ml food,Gas-O-Free (200ml),customer_safe_intent,
1658,What is the MRP of Hindi One-Page Compensation Plan (Set of 25 Leaflets)?,The MRP is ₹75.0.,pricing,mrp,Hindi One-Page Compensation Plan (Set of 25 Leaflets),DJP1158,DJ-PRO-0159,high,Price List,,mrp hindi one page compensation plan set 25 leaflets,mrp hindi one page compensation plan set 25 leaflets,Hindi One-Page Compensation Plan (Set of 25 Leaflets),customer_safe_intent,
1659,What is Bio-Germanium & Magnetic Mattress (Pack of 2)?,Bio-Germanium & Magnetic Mattress (Pack of 2) is a GERMANIUM & MAGNETIC product by Dayjoy.,informational,product_info,Bio-Germanium & Magnetic Mattress (Pack of 2),DJP1137,DJ-GER-0138,high,Products Master,,bio germanium magnetic mattress pack 2,bio germanium magnetic mattress pack 2,Bio-Germanium & Magnetic Mattress (Pack of 2),customer_safe_intent,
1661,Do you have AgeX Anti-Ageing Night Cream (50gm)?,"Yes, AgeX Anti-Ageing Night Cream (50gm) is available. Code: DJP1061",transactional,availability,AgeX Anti-Ageing Night Cream (50gm),DJP1061,DJ-SKI-0062,high,Products Master,,do you have agex anti ageing night cream 50gm,do you have agex anti ageing night cream 50gm,AgeX Anti-Ageing Night Cream (50gm),customer_safe_intent,
1662,Which product is good for Generalised Pain?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,generalised pain,generalised pain,,customer_safe_intent,
1663,Which product is good for Running Nose?,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,running nose,running nose,,customer_safe_intent,
1665,Do you have Kasuri Methi (50g)?,"Yes, Kasuri Methi (50g) is available. Code: DJP1015",transactional,availability,Kasuri Methi (50g),DJP1015,DJ-FOO-0016,high,Products Master,,do you have kasuri methi 50g,do you have kasuri methi 50g,Kasuri Methi (50g),customer_safe_intent,
1667,Which product is good for Ongoing worries about sleep?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,ongoing worries about sleep,ongoing worries about sleep,,customer_safe_intent,
1670,Tell me about Asthprash (300 grams),This is a premium product under Asthprash.,informational,product_discovery,Asthprash (300 grams),DJP1065,DJ-HEA-0066,high,Products Master,,tell about asthprash 300 grams,tell about asthprash 300 grams,Asthprash (300 grams),customer_safe_intent,
1671,Is Milk Bath Soap (Pack of 3) (100g) a food product?,It is categorized under PERSONAL CARE.,informational,product_category,Milk Bath Soap (Pack of 3) (100g),DJP1039,DJ-PER-0040,high,Products Master,,milk bath soap pack 3 100g food,milk bath soap pack 3 100g food,Milk Bath Soap (Pack of 3) (100g),customer_safe_intent,
1675,What is Dayjoy Car Sticker?,Dayjoy Car Sticker is a PROMOTION TOOLS product by Dayjoy.,informational,product_info,Dayjoy Car Sticker,DJP1151,DJ-PRO-0152,high,Products Master,,dayjoy car sticker,dayjoy car sticker,Dayjoy Car Sticker,customer_safe_intent,
1680,Are Amara Beauty Kajal and Perfect-Ion Testing Solutions the same?,"No, Amara Beauty Kajal is in COLOR COSMETICS while Perfect-Ion Testing Solutions is in AQUA ESSENTIALS.",comparison,category_difference,,,,high,Products Master,,amara beauty kajal and perfect ion testing solutions same,amara beauty kajal and perfect ion testing solutions same,,customer_safe_intent,
1683,What is the MRP of JoyCalcium (2 Litre)?,The MRP is ₹1049.0.,pricing,mrp,JoyCalcium (2 Litre),DJP1135,DJ-AGR-0136,high,Price List,,mrp joycalcium 2 litre,mrp joycalcium 2 litre,JoyCalcium (2 Litre),customer_safe_intent,
1694,Do you have Nano Tech-19 (500ml)?,"Yes, Nano Tech-19 (500ml) is available. Code: DJP1124",transactional,availability,Nano Tech-19 (500ml),DJP1124,DJ-AGR-0125,high,Products Master,,do you have nano tech 19 500ml,do you have nano tech 19 500ml,Nano Tech-19 (500ml),customer_safe_intent,
1698,What is Adiliv (60 Tab)?,Adiliv (60 Tab) is a HEALTH CARE product by Dayjoy.,informational,product_info,Adiliv (60 Tab),DJP1072,DJ-HEA-0073,high,Products Master,,adiliv 60 tab,adiliv 60 tab,Adiliv (60 Tab),customer_safe_intent,
1704,What is the MRP of Dayjoy Car Sticker?,The MRP is ₹40.0.,pricing,mrp,Dayjoy Car Sticker,DJP1151,DJ-PRO-0152,high,Price List,,mrp dayjoy car sticker,mrp dayjoy car sticker,Dayjoy Car Sticker,customer_safe_intent,
1715,What is Eye Elixir Drops (10ml)?,Eye Elixir Drops (10ml) is a HEALTH CARE product by Dayjoy.,informational,product_info,Eye Elixir Drops (10ml),DJP1086,DJ-HEA-0087,high,Products Master,,eye elixir drops 10ml,eye elixir drops 10ml,Eye Elixir Drops (10ml),customer_safe_intent,
1716,What is Chicken Masala (100g)?,Chicken Masala (100g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Chicken Masala (100g),DJP1002,DJ-FOO-0003,high,Products Master,,chicken masala 100g,chicken masala 100g,Chicken Masala (100g),customer_safe_intent,
1717,Tell me about Dhaniya Powder (500g),This is a premium product under Aayushmaan / YumDum / Total Joy.,informational,product_discovery,Dhaniya Powder (500g),DJP1007,DJ-FOO-0008,high,Products Master,,tell about dhaniya powder 500g,tell about dhaniya powder 500g,Dhaniya Powder (500g),customer_safe_intent,
1718,Tell me about N-astheal (60 Tab),This is a premium product under Curind.,informational,product_discovery,N-astheal (60 Tab),DJP1097,DJ-HEA-0098,high,Products Master,,tell about n astheal 60 tab,tell about n astheal 60 tab,N-astheal (60 Tab),customer_safe_intent,
1719,"Which product is good for Cough, Sore Throat?","Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,cough sore throat,cough sore throat,,customer_safe_intent,
1723,Is Aqua Energiser (Single) a food product?,It is categorized under AQUA ESSENTIALS.,informational,product_category,Aqua Energiser (Single),DJP1139,DJ-AQU-0140,high,Products Master,,aqua energiser single food,aqua energiser single food,Aqua Energiser (Single),customer_safe_intent,
1726,Tell me about HB+ (200ml),This is a premium product under Curind.,informational,product_discovery,HB+ (200ml),DJP1088,DJ-HEA-0089,high,Products Master,,tell about hb 200ml,tell about hb 200ml,HB+ (200ml),customer_safe_intent,
1729,Are Quick 6 Pain Relief Gel (30g) and Milk Bath Soap (Pack of 3) (100g) the same?,"No, Quick 6 Pain Relief Gel (30g) is in HEALTH CARE while Milk Bath Soap (Pack of 3) (100g) is in PERSONAL CARE.",comparison,category_difference,,,,high,Products Master,,quick 6 pain relief gel 30g and milk bath soap pack 3 100g same,quick 6 pain relief gel 30g and milk bath soap pack 3 100g same,,customer_safe_intent,
1730,Tell me about N-SF 9.5 Mineraliser,This is a premium product under Dayjoy.,informational,product_discovery,N-SF 9.5 Mineraliser,DJP1144,DJ-AQU-0145,high,Products Master,,tell about n sf 9 5 mineraliser,tell about n sf 9 5 mineraliser,N-SF 9.5 Mineraliser,customer_safe_intent,
1738,What is the MRP of Giloe Extract (60 Veg Capsules)?,The MRP is ₹499.0.,pricing,mrp,Giloe Extract (60 Veg Capsules),DJP1085,DJ-HEA-0086,high,Price List,,mrp giloe extract 60 veg capsules,mrp giloe extract 60 veg capsules,Giloe Extract (60 Veg Capsules),customer_safe_intent,
